0.1	0.0140859
0.2	0.0112395
0.3	0.0100713
0.4	0.00937333
0.5	0.00882478
0.6	0.00830965
0.7	0.00782273
0.8	0.00737111
0.9	0.00697588
1	0.00664737
1.1	0.00637722
1.2	0.00615178
1.3	0.00595718
1.4	0.00578077
1.5	0.00561371
1.6	0.00544355
1.7	0.00526219
1.8	0.00506288
1.9	0.00484384
2	0.00460621
2.1	0.00435205
2.2	0.00408706
2.3	0.00381739
2.4	0.00355276
2.5	0.00330342
2.6	0.00308257
2.7	0.00290458
2.8	0.00278101
2.9	0.00271931
3	0.00271898
3.1	0.00277131
3.2	0.00285924
3.3	0.00295967
3.4	0.00304895
3.5	0.00311213
3.6	0.00314181
3.7	0.00313858
3.8	0.00310665
3.9	0.0030518
4	0.0029784
4.1	0.00289046
4.2	0.00279165
4.3	0.0026867
4.4	0.00258267
4.5	0.00248783
4.6	0.00241147
4.7	0.00236193
4.8	0.00234437
4.9	0.00235917
5	0.00240075
